id,man,ypr,lat_e,long_e,elvt_e,fov_e,lat,long,elvt,fov,yaw,ptch,roll,path
32,1,2.61415 0.155957 -0.0234726,46.555,8.56614,2086.500000,0.962158,46.5555,8.5655,2092.500000,0.939312783676,2.61415,0.155957,-0.0234726,
33,1,0.309828 0.139065 -0.00514214,46.5564,8.56667,2090.500000,0.960355,46.556999,8.5664997,2090.500000,0.939312783676,0.309828,0.139065,-0.00514214,
34,0,2.08085 0.0820679 0.0736334,46.536,8.571,1939.000000,0.939313,46.535999,8.5710001,1939.000000,0.939312783676,2.08085,0.0820679,0.0736334,
35,1,2.25522 0.212901 0.0639711,46.5266,8.5563,1778.000000,0.92083,46.5266,8.5563,1778.000000,0.939312783676,2.25522,0.212901,0.0639711,
36,1,-2.49823 0.261969 0.0625999,46.5311,8.57945,1594.000000,0.985167,46.5302,8.5777,1601.000000,0.939312783676,-2.49823,0.261969,0.0625999,
37,0,1.36141 0.269212 7.35656e-07,46.5341,8.5855,1537.000000,0.939313,46.5341,8.5855,1537.000000,0.939312783676,1.36141,0.269212,7.35656E-07,
38,1,2.41822 0.201663 0.0210769,46.5029,8.72227,973.000000,0.924469,46.5019,8.7213,977.500000,0.939312783676,2.41822,0.201663,0.0210769,
39,0,2.70671 0.154164 -0.0613615,46.398,8.8725,401.500000,0.939313,46.397999,8.8725004,401.500000,0.939312783676,2.70671,0.154164,-0.0613615,
40,1,1.31818 0.267993 0.105243,46.317,8.9805,265.000000,0.91491,46.317001,8.9805002,265.000000,0.939312783676,1.31818,0.267993,0.105243,
41,0,1.96426 0.129621 0.0490848,46.2919,8.9902,257.000000,0.939313,46.2919,8.9902,257.000000,0.939312783676,1.96426,0.129621,0.0490848,
42,1,0.64491 0.555669 0.0274565,46.26,8.8365,537.500000,0.918295,46.259998,8.8365002,537.500000,0.939312783676,0.64491,0.555669,0.0274565,
43,0,-2.27412 0.299893 0.0368135,46.169,8.8785,196.500000,0.939313,46.168999,8.8785,196.500000,0.939312783676,-2.27412,0.299893,0.0368135,
44,1,-2.42879 0.362702 -0.0205066,46.1682,8.88179,197.500000,0.922501,46.1682,8.8818,197.500000,0.939312783676,-2.42879,0.362702,-0.0205066,
45,0,2.00108 0.215525 0.0122715,46.1644,8.88581,196.500000,0.939313,46.1644,8.8858,196.500000,0.939312783676,2.00108,0.215525,0.0122715,
46,0,2.67449 0.345911 0.0122711,46.162,8.991,217.500000,0.939313,46.161999,8.9910002,217.500000,0.939312783676,2.67449,0.345911,0.0122711,
47,1,-2.09176 0.247829 0.00614837,46.013,8.916,283.500000,0.930617,46.013,8.9160004,283.500000,0.939312783676,-2.09176,0.247829,0.00614837,
48,0,0.237 0.330574 -0.0245417,46.373,8.9205,310.500000,0.939313,46.373001,8.9204998,310.500000,0.939312783676,0.237,0.330574,-0.0245417,
49,0,-0.281486 0.194049 0.0490842,46.4735,8.8058,698.500000,0.939313,46.4735,8.8058,698.500000,0.939312783676,-0.281486,0.194049,0.0490842,
50,1,-2.63709 0.470084 0.0762196,46.828,8.63999,462.500000,0.939593,46.827999,8.6400003,462.500000,0.939312783676,-2.63709,0.470084,0.0762196,
51,0,-2.87084 0.190981 0.012271,47.017,8.6265,446.000000,0.939313,47.016998,8.6265001,446.000000,0.939312783676,-2.87084,0.190981,0.012271,
52,0,0.137291 0.172573 -0.0122711,46.6359,7.989,904.000000,0.92263,46.6359,7.989,904.000000,0.922629596605,0.137291,0.172573,-0.0122711,
53,1,-2.53722 0.0459743 -0.00969746,46.3793,7.70649,2627.500000,0.872708,46.3793,7.7065,2627.500000,0.905560266163,-2.53722,0.0459743,-0.00969746,
54,0,1.36294 0.00383496 0.0368121,46.0726,7.44868,3306.000000,1.00109,46.072576,7.448688,3306.000000,1.0010872184,1.36294,0.00383496,0.0368121,
55,0,0.226261 0.054456 0.0122709,46.5713,8.33111,1933.000000,0.394791,46.5713,8.33111,1933.000000,0.3947911197,0.226261,0.054456,0.0122709,
56,1,1.79768 -0.143551 0.00398639,46.4952,7.54185,1926.000000,1.06063,46.4952,7.54186,1926.000000,1.05290925651,1.79768,-0.143551,0.00398639,
57,1,0.497815 0.0516077 0.016215,46.0255,7.7561,1660.500000,1.1506,46.025492,7.756101,1660.500000,1.1760052071,0.497815,0.0516077,0.016215,
58,1,3.1102 -0.0755298 0.0170437,46.4894,7.62461,2320.000000,0.796052,46.471001,7.6139998,2838.500000,0.59904179082,3.1102,-0.0755298,0.0170437,
59,1,-2.83099 0.0144754 -0.0604331,47.0411,8.5193,922.500000,0.843246,47.0397,8.51688,1004.500000,0.832529167809,-2.83099,0.0144754,-0.0604331,
60,1,-3.0484 -0.0262301 -0.0227765,47.0399,8.51823,1022.000000,0.486323,47.0397,8.51688,1004.500000,0.485814554467,-3.0484,-0.0262301,-0.0227765,
61,1,2.46674 0.0401883 -0.0317919,47.0518,8.47254,1574.500000,0.239428,47.054001,8.4750004,1610.500000,0.220155785903,2.46674,0.0401883,-0.0317919,
62,1,2.4574 0.0333769 -0.042083,47.0521,8.47282,1577.000000,0.844699,47.051998,8.4720001,1579.000000,0.832529167809,2.4574,0.0333769,-0.042083,
63,1,1.57006 0.0235618 -0.0637096,47.0549,8.47591,1631.500000,0.846538,47.0566,8.48527,1788.500000,0.832529167809,1.57006,0.0235618,-0.0637096,
64,0,0.269214 -0.0605921 0.0859035,47.0279,8.48165,946.000000,0.391892,47.0279,8.48165,946.000000,0.391891619897,0.269214,-0.0605921,0.0859035,
65,1,3.07476 0.0597267 -0.0388967,47.032,8.43301,439.500000,0.82154,47.032001,8.4329996,439.500000,0.832529167809,3.07476,0.0597267,-0.0388967,
66,0,0.775426 0.0115037 0.0245419,47.027,8.412,433.000000,0.314959,47.027,8.4119997,433.000000,0.314958594853,0.775426,0.0115037,0.0245419,
67,1,2.70305 0.392005 -0.0678212,46.5756,7.939,1874.000000,0.366607,46.575571,7.939000,1873.000000,0.3947911197,2.70305,0.392005,-0.0678212,
68,1,1.87771 0.327053 -0.00528585,46.5756,7.939,1874.000000,0.812869,46.575571,7.939000,1873.000000,0.884740492118,1.87771,0.327053,-0.00528585,
69,1,2.57444 0.38879 -0.0099065,46.5849,7.96149,2061.500000,0.865646,46.584927,7.961500,2062.000000,0.884740492118,2.57444,0.38879,-0.0099065,
70,1,2.21682 0.319672 -0.0264168,46.5849,7.96149,2061.500000,0.866992,46.584927,7.961500,2062.000000,0.884740492118,2.21682,0.319672,-0.0264168,
71,0,-2.21123 0.0299111 -0.012271,46.5838,7.96335,2086.000000,0.883754,46.5838,7.96335,2086.000000,0.883753663084,-2.21123,0.0299111,-0.012271,
72,0,3.11475 0.230863 0.0490841,46.5838,7.96335,2086.000000,0.883754,46.5838,7.96335,2086.000000,0.883753663084,3.11475,0.230863,0.0490841,
73,1,2.38373 0.276156 -0.026068,46.5838,7.96335,2086.000000,0.860524,46.5838,7.96335,2086.000000,0.883753663084,2.38373,0.276156,-0.026068,
74,1,0.709713 -0.0642214 -0.00415861,46.8433,8.4136,1977.000000,0.963097,46.8433,8.4136,1977.000000,0.994837667988,0.709713,-0.0642214,-0.00415861,
75,1,1.60212 -0.0922195 -0.0200633,46.3204,7.08414,1962.500000,0.970853,46.3221,7.0834,1956.000000,0.994837667988,1.60212,-0.0922195,-0.0200633,
76,1,2.13868 -0.035817 -0.0256997,46.3206,7.0851,1973.000000,0.955098,46.3206,7.0851,1973.000000,0.994837667988,2.13868,-0.035817,-0.0256997,
77,1,-1.13039 -0.128032 0.0702257,46.3217,7.08233,1953.000000,0.941245,46.3212,7.0824,1958.000000,0.994837667988,-1.13039,-0.128032,0.0702257,
78,1,-2.53117 -0.0605802 0.0357899,46.3325,7.06911,1995.500000,0.977197,46.3314,7.0669,2022.500000,0.994837667988,-2.53117,-0.0605802,0.0357899,
79,0,2.35849 0.0836005 -0.0122707,46.3018,7.0716,1493.500000,0.994838,46.3018,7.0716,1493.500000,0.994837667988,2.35849,0.0836005,-0.0122707,
80,0,-3.0856 -0.120417 2.43174e-07,46.2973,7.0736,1398.500000,0.994838,46.2973,7.0736,1398.500000,0.994837667988,-3.0856,-0.120417,2.43174E-07,
81,1,2.45236 -0.0546196 -0.00817392,46.2924,7.0684,1361.500000,0.967639,46.2924,7.0684,1361.500000,0.994837667988,2.45236,-0.0546196,-0.00817392,
82,1,0.927375 -0.0526693 0.00943675,46.2919,7.0687,1345.500000,0.961673,46.2919,7.0687,1345.500000,0.994837667988,0.927375,-0.0526693,0.00943675,
83,1,1.88417 -0.118946 -0.00324928,46.3121,7.0782,1639.500000,0.95759,46.3121,7.0782,1639.500000,0.994837667988,1.88417,-0.118946,-0.00324928,
84,0,2.43827 -0.102011 0.0245429,46.3121,7.0782,1639.500000,0.994838,46.3121,7.0782,1639.500000,0.994837667988,2.43827,-0.102011,0.0245429,
85,1,1.63811 -0.0577637 -0.009137,46.308,7.05729,1347.500000,0.960559,46.3080,7.0573,1347.500000,0.994837667988,1.63811,-0.0577637,-0.009137,
86,1,1.11647 -0.126075 0.00321974,46.309,7.05759,1368.500000,0.954833,46.3090,7.0576,1368.500000,0.994837667988,1.11647,-0.126075,0.00321974,
87,1,1.32573 -0.0767329 5.94152e-05,46.3095,7.0613,1383.000000,0.958179,46.3095,7.0613,1383.000000,0.994837667988,1.32573,-0.0767329,5.94152E-05,
88,1,1.37886 -0.0763009 -0.0196378,46.3123,7.0593,1476.500000,0.956618,46.3123,7.0593,1476.500000,0.994837667988,1.37886,-0.0763009,-0.0196378,
89,1,1.17917 -0.118792 0.00463055,46.3212,7.06434,1902.000000,0.951297,46.3066,7.0494,1326.000000,0.994837667988,1.17917,-0.118792,0.00463055,
90,1,1.28429 -0.0366066 0.0167082,46.2919,7.06769,1347.500000,0.965311,46.2919,7.0677,1347.500000,0.994837667988,1.28429,-0.0366066,0.0167082,
91,1,1.96766 -0.0315217 0.00429578,46.2919,7.06769,1347.500000,0.964267,46.2919,7.0677,1347.500000,0.994837667988,1.96766,-0.0315217,0.00429578,
92,1,2.63691 -0.0912283 -0.0100338,46.2919,7.06769,1347.500000,1.00262,46.2919,7.0677,1347.500000,0.994837667988,2.63691,-0.0912283,-0.0100338,
93,0,-2.23424 0.109679 -1.13402e-08,46.2948,7.06129,1299.500000,0.994838,46.2948,7.0613,1300.000000,0.994837667988,-2.23424,0.109679,-1.13402E-08,
94,1,-1.49451 0.141792 -0.000412715,46.2949,7.06059,1295.000000,0.953262,46.2949,7.0606,1295.000000,0.994837667988,-1.49451,0.141792,-0.000412715,
95,1,1.79473 0.00901274 0.0864051,46.3216,7.0679,1883.500000,0.96316,46.3216,7.0679,1883.500000,0.994837667988,1.79473,0.00901274,0.0864051,
96,0,3.12088 -0.0345135 0.0368133,46.3216,7.0679,1883.500000,0.994838,46.3216,7.0679,1883.500000,0.994837667988,3.12088,-0.0345135,0.0368133,
97,1,2.87162 -0.0925513 0.0157764,46.3267,7.0618,2097.500000,0.960331,46.3267,7.0618,2097.500000,0.994837667988,2.87162,-0.0925513,0.0157764,
98,0,-2.5165 -0.0697967 5.16925e-08,46.3266,7.062,2092.500000,0.994838,46.3266,7.0620,2092.500000,0.994837667988,-2.5165,-0.0697967,5.16925E-08,
99,1,2.13416 -0.135415 0.0334733,46.3266,7.062,2092.500000,0.958617,46.3266,7.0620,2092.500000,0.994837667988,2.13416,-0.135415,0.0334733,
100,0,1.32152 -0.089738 0.0736317,46.3264,7.0623,2080.500000,0.994838,46.3264,7.0623,2080.500000,0.994837667988,1.32152,-0.089738,0.0736317,
101,1,2.73154 -0.108831 -0.0125422,46.3262,7.0625,2072.000000,0.968953,46.3262,7.0625,2072.000000,0.994837667988,2.73154,-0.108831,-0.0125422,
102,1,2.2464 -0.0816012 0.0316345,46.3262,7.0625,2072.000000,0.962793,46.3262,7.0625,2072.000000,0.994837667988,2.2464,-0.0816012,0.0316345,
103,0,-2.48428 -0.0421853 -0.024542,46.3246,7.0661,1990.500000,0.994838,46.3246,7.0661,1990.500000,0.994837667988,-2.48428,-0.0421853,-0.024542,
104,0,3.04265 -0.0421853 0.0122713,46.3246,7.0661,1990.500000,0.994838,46.3246,7.0661,1990.500000,0.994837667988,3.04265,-0.0421853,0.0122713,
105,0,2.30788 -0.12195 0.0368136,46.3246,7.0661,1990.500000,0.994838,46.3246,7.0661,1990.500000,0.994837667988,2.30788,-0.12195,0.0368136,
106,0,1.33226 -0.0115058 0.0859027,46.3246,7.0661,1990.500000,0.994838,46.3246,7.0661,1990.500000,0.994837667988,1.33226,-0.0115058,0.0859027,
107,1,1.90612 -0.0211829 0.0655463,46.3217,7.0672,1896.500000,0.950236,46.3217,7.0672,1896.500000,0.994837667988,1.90612,-0.0211829,0.0655463,
108,1,3.0135 -0.12195 0.0245425,46.3217,7.0674,1893.000000,0.958571,46.3217,7.0674,1893.000000,0.994837667988,3.0135,-0.12195,0.0245425,
109,0,-2.09158 0.0145739 0.012271,46.3209,7.0836,1968.500000,0.994838,46.3209,7.0836,1968.500000,0.994837667988,-2.09158,0.0145739,0.012271,
110,0,-0.491641 -0.0866703 0.0122711,46.3209,7.0836,1968.500000,0.994838,46.3209,7.0836,1968.500000,0.994837667988,-0.491641,-0.0866703,0.0122711,
111,0,1.20034 -0.0575264 0.0122705,46.3209,7.0836,1968.500000,0.994838,46.3209,7.0836,1968.500000,0.994837667988,1.20034,-0.0575264,0.0122705,
112,1,2.11236 -0.180827 0.0525097,46.3316,7.0684,2003.000000,0.962483,46.3316,7.0684,2003.000000,0.994837667988,2.11236,-0.180827,0.0525097,
113,0,2.66069 -0.207853 0.0245424,46.3316,7.0684,2003.000000,0.994838,46.3316,7.0684,2003.000000,0.994837667988,2.66069,-0.207853,0.0245424,
114,0,2.06244 -0.295291 0.0245432,46.3316,7.0684,2003.000000,0.994838,46.3316,7.0684,2003.000000,0.994837667988,2.06244,-0.295291,0.0245432,
115,1,-0.0207743 -0.0254422 0.0106673,46.2953,7.1038,1754.500000,0.958222,46.2953,7.1038,1754.500000,0.994837667988,-0.0207743,-0.0254422,0.0106673,
116,0,-0.451755 -0.0483209 0.0490844,46.2959,7.09189,1508.000000,0.994838,46.2959,7.0919,1508.000000,0.994837667988,-0.451755,-0.0483209,0.0490844,
117,1,2.18764 0.0205706 -0.0234309,46.3075,7.0754,1610.500000,0.969538,46.3075,7.0754,1610.500000,0.994837667988,2.18764,0.0205706,-0.0234309,
118,0,-2.7558 0.0667275 0.0122709,46.3075,7.0754,1610.500000,0.994838,46.3075,7.0754,1610.500000,0.994837667988,-2.7558,0.0667275,0.0122709,
119,1,1.16204 -0.0679682 0.0128811,46.2896,7.1028,1545.000000,0.958029,46.2896,7.1028,1545.000000,0.994837667988,1.16204,-0.0679682,0.0128811,
120,0,0.603621 -0.158767 0.0368125,46.2894,7.10331,1543.000000,0.994838,46.2894,7.1033,1543.000000,0.994837667988,0.603621,-0.158767,0.0368125,
121,1,1.5533 -0.0762487 0.000494566,46.2893,7.1033,1541.500000,0.966311,46.2893,7.1033,1541.500000,0.994837667988,1.5533,-0.0762487,0.000494566,
122,1,-3.06837 0.0572432 0.0249672,46.2885,7.10332,1536.000000,0.972648,46.2884,7.1033,1536.000000,0.994837667988,-3.06837,0.0572432,0.0249672,
123,0,3.03651 0.062125 -0.0122709,46.2883,7.1041,1541.000000,0.994838,46.2883,7.1041,1541.000000,0.994837667988,3.03651,0.062125,-0.0122709,
124,0,1.50713 -0.0329815 0.02454,46.2879,7.1061,1547.500000,0.994838,46.2879,7.1061,1547.500000,0.994837667988,1.50713,-0.0329815,0.02454,
125,0,1.17273 -0.0176403 0.0122706,46.2881,7.10179,1517.000000,0.994838,46.2881,7.1018,1517.000000,0.994837667988,1.17273,-0.0176403,0.0122706,
126,1,2.1561 0.0384639 -0.00732988,46.9313,7.45945,521.000000,0.292455,46.93,7.4580002,532.500000,0.290619748266,2.1561,0.0384639,-0.00732988,
127,1,2.14881 0.0113208 0.00772112,46.9432,7.4426,514.500000,0.418358,46.9432,7.4426,514.500000,0.432170742694,2.14881,0.0113208,0.00772112,
128,0,2.40605 0.0329801 0.0122715,46.885,7.4775,824.000000,0.339556,46.884998,7.4775,824.000000,0.339556176208,2.40605,0.0329801,0.0122715,
129,0,2.43519 0.031447 0.0245427,46.913,7.452,807.000000,0.265103,46.912998,7.4520001,807.000000,0.265103064593,2.43519,0.031447,0.0245427,
130,1,2.4433 0.0233056 0.0226367,46.893,7.4625,879.500000,0.252148,46.893002,7.4625001,879.500000,0.252175641028,2.4433,0.0233056,0.0226367,
131,0,2.2189 0.0222418 0.0122719,46.895,7.449,861.500000,0.252176,46.895,7.4489999,861.500000,0.252175641028,2.2189,0.0222418,0.0122719,
132,0,2.55024 0.0161068 0.0245426,46.89,7.47599,830.000000,0.422187,46.889999,7.4759998,830.000000,0.422187238093,2.55024,0.0161068,0.0245426,
133,0,2.44593 0.0237753 0.0245428,46.919,7.4475,795.500000,0.252176,46.918999,7.4475002,795.500000,0.252175641028,2.44593,0.0237753,0.0245428,
134,0,2.28026 0.0467873 -0.0245415,46.922,7.45949,574.500000,0.252176,46.922001,7.4594998,574.500000,0.252175641028,2.28026,0.0467873,-0.0245415,
135,0,2.60086 0.00383564 0.0245427,46.899,7.47,825.000000,0.471091,46.898998,7.4699998,825.000000,0.471090670596,2.60086,0.00383564,0.0245427,
136,0,2.39531 0.0268446 0.0122716,46.889,7.47,850.500000,0.432171,46.889,7.4699998,850.500000,0.432170742694,2.39531,0.0268446,0.0122716,
137,0,2.49349 0.0222423 -0.0245416,46.914,7.452,820.500000,0.29778,46.914001,7.4520001,820.500000,0.297780181741,2.49349,0.0222423,-0.0245416,
138,0,2.30634 0.0314472 5.14246e-07,46.912,7.45199,768.500000,0.184094,46.911999,7.4520001,768.000000,0.184093587717,2.30634,0.0314472,5.14246E-07,
139,1,-2.83222 0.345314 -0.0309808,46.8544,9.53466,584.500000,0.318764,46.85,9.53333,594.000000,0.297779322176,-2.83222,0.345314,-0.0309808,
140,1,2.64232 -0.0596872 -0.0267093,46.4175,9.82419,3250.500000,0.923485,46.418,9.8215,3286.000000,0.881914227535,2.64232,-0.0596872,-0.0267093,
141,0,-2.9276 0.0345135 4.7214e-08,46.558,7.8375,2840.000000,1.17601,46.558,7.8375,2840.000000,1.1760052071,-2.9276,0.0345135,4.7214E-08,
142,0,-2.94141 -0.236998 0.0490844,46.558,7.8375,2840.000000,1.17601,46.558,7.8375,2840.000000,1.1760052071,-2.94141,-0.236998,0.0490844,
143,0,2.9951 0.144962 5.14289e-09,46.559,7.8375,2782.000000,1.17601,46.559,7.8375,2782.000000,1.1760052071,2.9951,0.144962,5.14289E-09,
144,0,3.01197 -0.106613 0.0368133,46.558,7.839,2772.500000,1.17601,46.558,7.839,2772.500000,1.1760052071,3.01197,-0.106613,0.0368133,
145,0,2.86625 0.0743991 -0.0122708,46.557,7.8375,2888.500000,1.17601,46.557,7.8375,2888.500000,1.1760052071,2.86625,0.0743991,-0.0122708,
146,0,2.87545 -0.155701 0.0122714,46.557,7.8375,2888.500000,1.17601,46.557,7.8375,2888.500000,1.1760052071,2.87545,-0.155701,0.0122714,
147,1,2.1569 -0.177001 -0.0195277,46.5572,7.8352,2951.000000,1.15574,46.5572,7.8352,2951.000000,1.1760052071,2.1569,-0.177001,-0.0195277,
148,0,2.10386 0.134225 -0.036813,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,2.10386,0.134225,-0.036813,
149,0,1.59151 0.180242 -0.0122694,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.59151,0.180242,-0.0122694,
150,1,1.58511 -0.0837443 0.0100342,46.5572,7.8352,2951.000000,1.1443,46.5572,7.8352,2951.000000,1.1760052071,1.58511,-0.0837443,0.0100342,
151,0,1.57614 -0.283023 0.0245333,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.57614,-0.283023,0.0245333,
152,0,1.73723 0.163369 -0.0122711,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.73723,0.163369,-0.0122711,
153,0,1.7265 -0.0728633 0.0122742,46.557,7.836,2936.000000,1.17601,46.557,7.836,2936.000000,1.1760052071,1.7265,-0.0728633,0.0122742,
154,0,1.73877 -0.2416 0.0122731,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.73877,-0.2416,0.0122731,
155,0,1.06842 -0.218592 -0.0368131,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.06842,-0.218592,-0.0368131,
156,0,1.19267 0.0391159 -0.0122711,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.19267,0.0391159,-0.0122711,
157,0,1.16659 -0.00536932 -0.0245423,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.16659,-0.00536932,-0.0245423,
158,1,1.11385 -0.229317 -0.00176165,46.5572,7.8352,2951.000000,1.14258,46.5572,7.8352,2951.000000,1.1760052071,1.11385,-0.229317,-0.00176165,
159,0,1.61145 0.0805343 -0.0122726,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.61145,0.0805343,-0.0122726,
160,0,1.61757 -0.0989424 -0.0122792,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,1.61757,-0.0989424,-0.0122792,
161,1,1.01066 -0.105198 -0.0179495,46.5572,7.8352,2951.000000,1.13779,46.5572,7.8352,2951.000000,1.1760052071,1.01066,-0.105198,-0.0179495,
162,1,0.689192 -0.10783 0.00304467,46.5572,7.8352,2951.000000,1.14663,46.5572,7.8352,2951.000000,1.1760052071,0.689192,-0.10783,0.00304467,
163,0,-3.10401 -0.233932 0.0736329,46.558,7.8375,2840.000000,1.17601,46.558,7.8375,2840.000000,1.1760052071,-3.10401,-0.233932,0.0736329,
164,0,3.0043 -0.0467876 0.0490844,46.558,7.839,2772.500000,1.17601,46.558,7.839,2772.500000,1.1760052071,3.0043,-0.0467876,0.0490844,
165,0,2.77881 0.0145741 0.0613619,46.5572,7.8352,2951.000000,1.17601,46.5572,7.8352,2951.000000,1.1760052071,2.77881,0.0145741,0.0613619,
166,1,2.6756 0.160011 0.0272416,46.5572,7.8352,2951.000000,1.14998,46.5572,7.8352,2951.000000,1.1760052071,2.6756,0.160011,0.0272416,
167,0,3.03651 0.102011 0.0122711,46.558,7.839,2772.500000,1.17601,46.558,7.839,2772.500000,1.1760052071,3.03651,0.102011,0.0122711,
